Airline,Source,Destination,Total_Stops,Price,day_of_Journey,month_of_Journey,year_of_Journey,Total_duration_in_minutes,Dep_Time_Hour,Dep_Time_Minute,Arrival_Time_Hour,Arrival_Time_Minute
IndiGo,Chennai,Kolkata,0.0,5277.0,27.0,5.0,2019.0,140.0,22.0,5.0,0.0,25.0
IndiGo,Delhi,Cochin,1.0,6628.0,27.0,5.0,2019.0,975.0,9.0,15.0,1.0,30.0
Jet Airways,Delhi,Cochin,2.0,14237.0,9.0,6.0,2019.0,1090.0,18.0,25.0,12.0,35.0
Jet Airways,Delhi,Cochin,1.0,10262.0,12.0,6.0,2019.0,360.0,13.0,0.0,19.0,0.0
Air India,Delhi,Cochin,2.0,11942.0,27.0,6.0,2019.0,1470.0,18.0,45.0,19.0,15.0
Air India,Kolkata,Banglore,2.0,11458.0,6.0,6.0,2019.0,955.0,9.0,25.0,1.0,20.0
Air India,Mumbai,Hyderabad,0.0,3100.0,3.0,4.0,2019.0,80.0,6.0,20.0,7.0,40.0
IndiGo,Delhi,Cochin,1.0,6442.0,9.0,5.0,2019.0,560.0,6.0,50.0,16.0,10.0
IndiGo,Delhi,Cochin,1.0,6171.0,27.0,4.0,2019.0,665.0,5.0,5.0,16.0,10.0
Multiple carriers,Delhi,Cochin,1.0,14848.0,21.0,5.0,2019.0,375.0,13.0,0.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,14781.0,21.0,5.0,2019.0,475.0,8.0,25.0,16.0,20.0
IndiGo,Banglore,Delhi,0.0,4823.0,3.0,4.0,2019.0,175.0,18.0,25.0,21.0,20.0
Jet Airways,Kolkata,Banglore,1.0,14388.0,15.0,5.0,2019.0,330.0,6.0,30.0,12.0,0.0
SpiceJet,Banglore,Delhi,0.0,4991.0,3.0,5.0,2019.0,175.0,21.0,10.0,0.0,5.0
Air Asia,Kolkata,Banglore,1.0,5192.0,15.0,5.0,2019.0,955.0,7.0,35.0,23.0,30.0
Jet Airways,Kolkata,Banglore,1.0,10844.0,21.0,5.0,2019.0,800.0,20.0,0.0,9.0,20.0
Multiple carriers,Delhi,Cochin,1.0,9103.0,9.0,5.0,2019.0,505.0,10.0,35.0,19.0,0.0
Multiple carriers,Delhi,Cochin,1.0,8266.0,21.0,5.0,2019.0,535.0,10.0,20.0,19.0,15.0
Air India,Delhi,Cochin,2.0,6565.0,27.0,3.0,2019.0,1580.0,7.0,5.0,9.0,25.0
Air India,Kolkata,Banglore,2.0,14960.0,15.0,5.0,2019.0,805.0,9.0,50.0,23.0,15.0
Jet Airways,Delhi,Cochin,1.0,14714.0,24.0,6.0,2019.0,395.0,21.0,50.0,4.0,25.0
Air India,Delhi,Cochin,2.0,8603.0,27.0,6.0,2019.0,435.0,12.0,0.0,19.0,15.0
Jet Airways,Delhi,Cochin,1.0,16079.0,3.0,6.0,2019.0,395.0,21.0,50.0,4.0,25.0
Air India,Delhi,Cochin,1.0,7690.0,9.0,6.0,2019.0,1420.0,9.0,45.0,9.0,25.0
Jet Airways,Kolkata,Banglore,1.0,9663.0,15.0,5.0,2019.0,800.0,20.0,0.0,9.0,20.0
IndiGo,Chennai,Kolkata,0.0,3850.0,3.0,6.0,2019.0,140.0,7.0,55.0,10.0,15.0
Air India,Banglore,Delhi,1.0,6383.0,15.0,3.0,2019.0,745.0,10.0,30.0,22.0,55.0
SpiceJet,Chennai,Kolkata,0.0,3597.0,18.0,5.0,2019.0,135.0,8.0,20.0,10.0,35.0
IndiGo,Banglore,Delhi,0.0,4777.0,24.0,3.0,2019.0,170.0,4.0,0.0,6.0,50.0
Jet Airways,Delhi,Cochin,2.0,15129.0,21.0,5.0,2019.0,1430.0,19.0,10.0,19.0,0.0
IndiGo,Chennai,Kolkata,0.0,3850.0,15.0,5.0,2019.0,140.0,7.0,55.0,10.0,15.0
Jet Airways,Delhi,Cochin,1.0,14714.0,1.0,6.0,2019.0,300.0,14.0,0.0,19.0,0.0
Multiple carriers,Delhi,Cochin,1.0,6883.0,27.0,3.0,2019.0,480.0,13.0,0.0,21.0,0.0
SpiceJet,Kolkata,Banglore,0.0,3873.0,21.0,6.0,2019.0,140.0,22.0,20.0,0.0,40.0
Jet Airways,Kolkata,Banglore,1.0,10844.0,18.0,5.0,2019.0,800.0,20.0,0.0,9.0,20.0
Air India,Delhi,Cochin,1.0,7174.0,9.0,5.0,2019.0,320.0,17.0,40.0,23.0,0.0
IndiGo,Chennai,Kolkata,0.0,4332.0,24.0,5.0,2019.0,145.0,11.0,35.0,14.0,0.0
Jet Airways,Banglore,Delhi,0.0,3702.0,6.0,5.0,2019.0,175.0,15.0,15.0,18.0,10.0
GoAir,Banglore,Delhi,1.0,8352.0,3.0,3.0,2019.0,270.0,15.0,45.0,20.0,15.0
Jet Airways,Delhi,Cochin,1.0,10262.0,12.0,6.0,2019.0,1655.0,9.0,0.0,12.0,35.0
Multiple carriers,Delhi,Cochin,1.0,8371.0,27.0,3.0,2019.0,705.0,7.0,30.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,9663.0,12.0,5.0,2019.0,910.0,18.0,55.0,10.0,5.0
IndiGo,Kolkata,Banglore,0.0,4174.0,6.0,4.0,2019.0,155.0,11.0,30.0,14.0,5.0
Air Asia,Kolkata,Banglore,0.0,4409.0,15.0,6.0,2019.0,155.0,10.0,20.0,12.0,55.0
IndiGo,Banglore,Delhi,1.0,5607.0,15.0,3.0,2019.0,260.0,16.0,15.0,20.0,35.0
Jet Airways,Delhi,Cochin,2.0,8367.0,21.0,3.0,2019.0,1060.0,10.0,45.0,4.0,25.0
IndiGo,Kolkata,Banglore,0.0,4174.0,3.0,4.0,2019.0,155.0,11.0,30.0,14.0,5.0
Jet Airways,Delhi,Cochin,1.0,12452.0,27.0,3.0,2019.0,1225.0,8.0,0.0,4.0,25.0
IndiGo,Delhi,Cochin,1.0,6442.0,1.0,6.0,2019.0,940.0,6.0,50.0,22.0,30.0
IndiGo,Delhi,Cochin,1.0,14871.0,6.0,3.0,2019.0,570.0,11.0,30.0,21.0,0.0
IndiGo,Banglore,Delhi,0.0,4823.0,18.0,6.0,2019.0,175.0,18.0,25.0,21.0,20.0
IndiGo,Delhi,Cochin,1.0,8765.0,21.0,3.0,2019.0,985.0,9.0,10.0,1.0,35.0
Jet Airways,Delhi,Cochin,2.0,15129.0,27.0,5.0,2019.0,1025.0,19.0,30.0,12.0,35.0
Vistara,Delhi,Cochin,0.0,6216.0,27.0,6.0,2019.0,190.0,14.0,40.0,17.0,50.0
Multiple carriers,Delhi,Cochin,1.0,14486.0,21.0,3.0,2019.0,505.0,7.0,5.0,15.0,30.0
Jet Airways,Banglore,Delhi,0.0,4544.0,9.0,4.0,2019.0,180.0,17.0,45.0,20.0,45.0
Multiple carriers,Delhi,Cochin,1.0,7005.0,12.0,6.0,2019.0,900.0,6.0,0.0,21.0,0.0
Air India,Mumbai,Hyderabad,2.0,13169.0,6.0,3.0,2019.0,1630.0,6.0,0.0,9.0,10.0
IndiGo,Delhi,Cochin,1.0,5073.0,6.0,4.0,2019.0,300.0,16.0,0.0,21.0,0.0
IndiGo,Banglore,Delhi,0.0,4823.0,6.0,4.0,2019.0,175.0,18.0,55.0,21.0,50.0
Vistara,Banglore,Delhi,0.0,5613.0,24.0,4.0,2019.0,165.0,19.0,30.0,22.0,15.0
Air India,Kolkata,Banglore,0.0,4145.0,12.0,6.0,2019.0,155.0,20.0,45.0,23.0,20.0
Jet Airways,Delhi,Cochin,1.0,14053.0,9.0,3.0,2019.0,550.0,19.0,15.0,4.0,25.0
Air India,Banglore,Delhi,3.0,10573.0,3.0,3.0,2019.0,715.0,12.0,0.0,23.0,55.0
IndiGo,Banglore,Delhi,0.0,4591.0,15.0,4.0,2019.0,170.0,23.0,30.0,2.0,20.0
Air India,Delhi,Cochin,0.0,6094.0,1.0,6.0,2019.0,170.0,5.0,10.0,8.0,0.0
Multiple carriers,Delhi,Cochin,1.0,13378.0,21.0,3.0,2019.0,615.0,9.0,0.0,19.0,15.0
Jet Airways,Banglore,Delhi,0.0,7229.0,21.0,4.0,2019.0,180.0,17.0,45.0,20.0,45.0
SpiceJet,Chennai,Kolkata,0.0,3332.0,27.0,3.0,2019.0,140.0,17.0,45.0,20.0,5.0
Jet Airways,Delhi,Cochin,2.0,11869.0,21.0,3.0,2019.0,1465.0,18.0,25.0,18.0,50.0
SpiceJet,Mumbai,Hyderabad,0.0,1965.0,9.0,6.0,2019.0,90.0,22.0,45.0,0.0,15.0
IndiGo,Banglore,Delhi,0.0,4990.0,27.0,6.0,2019.0,175.0,18.0,55.0,21.0,50.0
IndiGo,Banglore,Delhi,0.0,12649.0,1.0,3.0,2019.0,175.0,21.0,20.0,0.0,15.0
Jet Airways,Kolkata,Banglore,1.0,14571.0,6.0,6.0,2019.0,1025.0,18.0,55.0,12.0,0.0
Multiple carriers,Delhi,Cochin,2.0,18485.0,9.0,6.0,2019.0,460.0,17.0,50.0,1.0,30.0
Jet Airways,Delhi,Cochin,1.0,14714.0,9.0,6.0,2019.0,395.0,21.0,50.0,4.0,25.0
Jet Airways,Kolkata,Banglore,1.0,7064.0,6.0,5.0,2019.0,435.0,10.0,20.0,17.0,35.0
Air India,Mumbai,Hyderabad,0.0,2575.0,27.0,3.0,2019.0,80.0,21.0,5.0,22.0,25.0
Jet Airways,Banglore,Delhi,0.0,7229.0,1.0,4.0,2019.0,180.0,17.0,45.0,20.0,45.0
Air Asia,Kolkata,Banglore,0.0,4409.0,27.0,4.0,2019.0,150.0,19.0,55.0,22.0,25.0
Jet Airways,Delhi,Cochin,1.0,12242.0,27.0,3.0,2019.0,610.0,18.0,15.0,4.0,25.0
SpiceJet,Delhi,Cochin,1.0,5583.0,6.0,6.0,2019.0,380.0,15.0,45.0,22.0,5.0
IndiGo,Banglore,Delhi,0.0,4423.0,27.0,4.0,2019.0,165.0,6.0,5.0,8.0,50.0
SpiceJet,Kolkata,Banglore,0.0,4622.0,9.0,3.0,2019.0,150.0,17.0,15.0,19.0,45.0
Air India,Kolkata,Banglore,2.0,13227.0,9.0,5.0,2019.0,970.0,16.0,45.0,8.0,55.0
IndiGo,Delhi,Cochin,1.0,6386.0,3.0,6.0,2019.0,345.0,2.0,0.0,7.0,45.0
Air India,Banglore,Delhi,1.0,6781.0,3.0,3.0,2019.0,790.0,8.0,15.0,21.0,25.0
Air India,Banglore,Delhi,0.0,5228.0,27.0,5.0,2019.0,170.0,13.0,20.0,16.0,10.0
Multiple carriers,Delhi,Cochin,1.0,12192.0,27.0,6.0,2019.0,720.0,7.0,0.0,19.0,0.0
Jet Airways,Banglore,Delhi,1.0,16736.0,6.0,3.0,2019.0,730.0,16.0,55.0,5.0,5.0
IndiGo,Chennai,Kolkata,0.0,7295.0,24.0,3.0,2019.0,140.0,19.0,35.0,21.0,55.0
Jet Airways,Delhi,Cochin,1.0,12898.0,27.0,5.0,2019.0,1680.0,15.0,0.0,19.0,0.0
Jet Airways,Delhi,Cochin,1.0,5963.0,21.0,3.0,2019.0,655.0,17.0,30.0,4.0,25.0
Vistara,Kolkata,Banglore,1.0,9187.0,9.0,5.0,2019.0,1555.0,7.0,10.0,9.0,5.0
Air Asia,Kolkata,Banglore,0.0,3807.0,9.0,5.0,2019.0,150.0,22.0,50.0,1.0,20.0
SpiceJet,Chennai,Kolkata,0.0,3543.0,15.0,6.0,2019.0,135.0,9.0,45.0,12.0,0.0
IndiGo,Banglore,Delhi,0.0,4823.0,1.0,4.0,2019.0,170.0,20.0,0.0,22.0,50.0
Jet Airways,Delhi,Cochin,1.0,12898.0,21.0,5.0,2019.0,330.0,7.0,5.0,12.0,35.0
Jet Airways,Kolkata,Banglore,1.0,8586.0,12.0,5.0,2019.0,1330.0,6.0,30.0,4.0,40.0
IndiGo,Banglore,Delhi,0.0,4777.0,24.0,3.0,2019.0,165.0,6.0,0.0,8.0,45.0
Multiple carriers,Delhi,Cochin,1.0,6076.0,27.0,3.0,2019.0,555.0,13.0,5.0,22.0,20.0
Jet Airways,Kolkata,Banglore,1.0,8586.0,9.0,5.0,2019.0,1655.0,6.0,30.0,10.0,5.0
Vistara,Banglore,Delhi,1.0,6800.0,15.0,3.0,2019.0,355.0,6.0,40.0,12.0,35.0
Multiple carriers,Delhi,Cochin,1.0,7354.0,6.0,6.0,2019.0,470.0,11.0,25.0,19.0,15.0
Jet Airways,Delhi,Cochin,1.0,12898.0,27.0,5.0,2019.0,1415.0,13.0,0.0,12.0,35.0
Air India,Banglore,Delhi,0.0,7171.0,24.0,5.0,2019.0,165.0,17.0,0.0,19.0,45.0
Jet Airways,Kolkata,Banglore,1.0,10844.0,1.0,5.0,2019.0,730.0,21.0,10.0,9.0,20.0
Air India,Delhi,Cochin,2.0,14483.0,9.0,3.0,2019.0,2240.0,5.0,55.0,19.0,15.0
IndiGo,Delhi,Cochin,1.0,5241.0,24.0,4.0,2019.0,345.0,2.0,0.0,7.0,45.0
SpiceJet,Banglore,Delhi,0.0,3311.0,6.0,5.0,2019.0,160.0,5.0,55.0,8.0,35.0
Air India,Delhi,Cochin,0.0,6934.0,18.0,5.0,2019.0,180.0,14.0,10.0,17.0,10.0
IndiGo,Delhi,Cochin,1.0,6442.0,15.0,6.0,2019.0,895.0,7.0,35.0,22.0,30.0
Air India,Delhi,Cochin,2.0,12940.0,1.0,6.0,2019.0,1470.0,18.0,45.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,9663.0,1.0,5.0,2019.0,1155.0,14.0,5.0,9.0,20.0
Air India,Banglore,Delhi,0.0,6121.0,15.0,4.0,2019.0,165.0,17.0,0.0,19.0,45.0
SpiceJet,Kolkata,Banglore,0.0,3841.0,1.0,4.0,2019.0,150.0,17.0,10.0,19.0,40.0
Jet Airways,Delhi,Cochin,0.0,9564.0,18.0,4.0,2019.0,195.0,11.0,0.0,14.0,15.0
Jet Airways,Banglore,Delhi,0.0,7229.0,15.0,6.0,2019.0,180.0,19.0,50.0,22.0,50.0
Multiple carriers,Delhi,Cochin,1.0,6723.0,24.0,6.0,2019.0,920.0,7.0,10.0,22.0,30.0
Jet Airways,Delhi,Cochin,2.0,15129.0,9.0,5.0,2019.0,1430.0,19.0,10.0,19.0,0.0
Air India,Delhi,Cochin,2.0,11762.0,3.0,3.0,2019.0,2170.0,7.0,5.0,19.0,15.0
Vistara,Chennai,Kolkata,0.0,3687.0,1.0,5.0,2019.0,135.0,7.0,5.0,9.0,20.0
SpiceJet,Mumbai,Hyderabad,0.0,1965.0,27.0,5.0,2019.0,90.0,22.0,45.0,0.0,15.0
Air India,Banglore,Delhi,0.0,5911.0,12.0,4.0,2019.0,170.0,13.0,20.0,16.0,10.0
IndiGo,Kolkata,Banglore,0.0,4462.0,21.0,3.0,2019.0,160.0,20.0,25.0,23.0,5.0
Vistara,Kolkata,Banglore,1.0,9345.0,15.0,5.0,2019.0,1350.0,20.0,20.0,18.0,50.0
Jet Airways,Kolkata,Banglore,1.0,14151.0,18.0,5.0,2019.0,1295.0,20.0,25.0,18.0,0.0
GoAir,Delhi,Cochin,1.0,6922.0,27.0,4.0,2019.0,540.0,10.0,35.0,19.0,35.0
IndiGo,Delhi,Cochin,0.0,5601.0,12.0,6.0,2019.0,195.0,5.0,35.0,8.0,50.0
Vistara,Banglore,Delhi,0.0,6138.0,24.0,3.0,2019.0,165.0,9.0,50.0,12.0,35.0
IndiGo,Delhi,Cochin,1.0,6147.0,24.0,6.0,2019.0,290.0,15.0,10.0,20.0,0.0
Multiple carriers,Delhi,Cochin,1.0,7308.0,27.0,5.0,2019.0,480.0,17.0,30.0,1.0,30.0
SpiceJet,Kolkata,Banglore,1.0,4859.0,24.0,4.0,2019.0,315.0,15.0,5.0,20.0,20.0
IndiGo,Banglore,Delhi,0.0,6860.0,9.0,3.0,2019.0,165.0,1.0,30.0,4.0,15.0
Jet Airways,Kolkata,Banglore,1.0,14388.0,6.0,5.0,2019.0,1315.0,14.0,5.0,12.0,0.0
IndiGo,Banglore,Delhi,0.0,4777.0,24.0,3.0,2019.0,165.0,6.0,0.0,8.0,45.0
Jet Airways,Delhi,Cochin,1.0,15554.0,18.0,5.0,2019.0,1425.0,19.0,15.0,19.0,0.0
Jet Airways,Delhi,Cochin,2.0,10368.0,1.0,6.0,2019.0,810.0,5.0,30.0,19.0,0.0
Jet Airways,Delhi,Cochin,1.0,17024.0,6.0,3.0,2019.0,1530.0,18.0,15.0,19.0,45.0
Jet Airways,Kolkata,Banglore,1.0,13941.0,9.0,5.0,2019.0,475.0,8.0,25.0,16.0,20.0
Multiple carriers,Delhi,Cochin,1.0,13587.0,12.0,6.0,2019.0,660.0,10.0,0.0,21.0,0.0
Jet Airways,Kolkata,Banglore,1.0,13941.0,9.0,5.0,2019.0,520.0,20.0,0.0,4.0,40.0
IndiGo,Delhi,Cochin,1.0,14871.0,6.0,3.0,2019.0,485.0,17.0,30.0,1.0,35.0
Air Asia,Kolkata,Banglore,1.0,6810.0,6.0,6.0,2019.0,720.0,22.0,40.0,10.0,40.0
Jet Airways,Kolkata,Banglore,1.0,12121.0,1.0,5.0,2019.0,1480.0,20.0,25.0,21.0,5.0
Jet Airways,Delhi,Cochin,2.0,13029.0,9.0,5.0,2019.0,1375.0,5.0,30.0,4.0,25.0
Jet Airways,Delhi,Cochin,1.0,12373.0,18.0,5.0,2019.0,1010.0,19.0,45.0,12.0,35.0
Air India,Delhi,Cochin,2.0,9653.0,27.0,6.0,2019.0,1180.0,12.0,0.0,7.0,40.0
IndiGo,Kolkata,Banglore,0.0,4804.0,3.0,6.0,2019.0,155.0,11.0,30.0,14.0,5.0
Jet Airways,Banglore,Delhi,1.0,22270.0,1.0,3.0,2019.0,1420.0,8.0,0.0,7.0,40.0
Air India,Delhi,Cochin,2.0,9653.0,27.0,6.0,2019.0,1410.0,19.0,45.0,19.0,15.0
Multiple carriers,Delhi,Cochin,1.0,12327.0,27.0,3.0,2019.0,795.0,2.0,15.0,15.0,30.0
SpiceJet,Banglore,Delhi,0.0,3919.0,9.0,4.0,2019.0,175.0,21.0,10.0,0.0,5.0
IndiGo,Delhi,Cochin,1.0,5883.0,3.0,6.0,2019.0,845.0,11.0,25.0,1.0,30.0
Jet Airways,Kolkata,Banglore,1.0,9314.0,21.0,5.0,2019.0,1285.0,17.0,0.0,14.0,25.0
IndiGo,Mumbai,Hyderabad,0.0,4049.0,18.0,6.0,2019.0,90.0,9.0,15.0,10.0,45.0
Multiple carriers,Delhi,Cochin,1.0,16287.0,9.0,3.0,2019.0,705.0,8.0,0.0,19.0,45.0
IndiGo,Banglore,Delhi,0.0,4823.0,24.0,5.0,2019.0,175.0,18.0,25.0,21.0,20.0
Jet Airways,Mumbai,Hyderabad,0.0,4995.0,24.0,5.0,2019.0,85.0,2.0,55.0,4.0,20.0
Air India,Mumbai,Hyderabad,1.0,14408.0,6.0,3.0,2019.0,1465.0,12.0,0.0,12.0,25.0
Air India,Delhi,Cochin,1.0,5232.0,6.0,4.0,2019.0,320.0,17.0,40.0,23.0,0.0
Jet Airways,Kolkata,Banglore,1.0,8066.0,1.0,4.0,2019.0,690.0,9.0,35.0,21.0,5.0
Jet Airways,Kolkata,Banglore,1.0,14388.0,6.0,5.0,2019.0,1430.0,20.0,0.0,19.0,50.0
Air India,Delhi,Cochin,2.0,13276.0,21.0,5.0,2019.0,500.0,10.0,55.0,19.0,15.0
IndiGo,Kolkata,Banglore,0.0,4804.0,15.0,6.0,2019.0,155.0,4.0,40.0,7.0,15.0
Jet Airways,Delhi,Cochin,1.0,10262.0,12.0,6.0,2019.0,1485.0,18.0,15.0,19.0,0.0
Air India,Mumbai,Hyderabad,0.0,3625.0,27.0,5.0,2019.0,90.0,13.0,55.0,15.0,25.0
Air Asia,Kolkata,Banglore,1.0,5162.0,9.0,5.0,2019.0,220.0,6.0,50.0,10.0,30.0
Air India,Delhi,Cochin,2.0,10283.0,6.0,3.0,2019.0,2295.0,5.0,0.0,19.0,15.0
Jet Airways,Kolkata,Banglore,1.0,13941.0,9.0,5.0,2019.0,1215.0,8.0,25.0,4.0,40.0
